path,type,depth,size_bytes,extension,language,category,generated_signal,binary,sha256,mode
conductor/product.md,file,2,2011,.md,Markdown,documentation,False,False,d28d7bd712ebf194bec029525eccb0f2cd881e66e68753d128d477e39b2325e9,0o644
conductor/provenance-ledger,directory,2,0,,,source,False,False,,0o2755
conductor/provenance-ledger/raw,directory,3,0,,,source,False,False,,0o2755
conductor/provenance-ledger/raw/snapshots,directory,4,0,,,source,False,False,,0o2755
conductor/provenance-ledger/raw/snapshots/source-luminet-repository.v1.json,file,5,447,.json,JSON,configuration_or_manifest,False,False,ed7e9a676b19057f12dbb537bc505a2962a37ed1c60b1cef442b2482813fe0d2,0o644
conductor/provenance-ledger/README.md,file,3,3001,.md,Markdown,documentation,False,False,48a2f0d7811db33653170c20564a2aa38b749c058f212e5c9aa5fe942f38c342,0o644
conductor/provenance-ledger/schema-v1.json,file,3,3041,.json,JSON,configuration_or_manifest,False,False,e6dbc616c97a7be28686e043934753f11cfbb31ee52ec8c9b523b724ca7c6d10,0o644
conductor/provenance-ledger/sources.v1.jsonl,file,3,884,.jsonl,,source,False,False,4f170863c76012b5e1e862520e386d2801e52c9f5ad236fa80e6c73360c34a64,0o644
conductor/tech-stack.md,file,2,1586,.md,Markdown,documentation,False,False,997cb33a82845ff3d7237dec29f845abf6f1c43f207a591729e2490c86e377c3,0o644
conductor/tracks,directory,2,0,,,source,False,False,,0o2755
conductor/tracks/track-02,directory,3,0,,,source,False,False,,0o2755
conductor/tracks/track-03,directory,3,0,,,source,False,False,,0o2755
conductor/tracks/track-04,directory,3,0,,,source,False,False,,0o2755
conductor/tracks/track-05,directory,3,0,,,source,False,False,,0o2755
conductor/tracks/track-06,directory,3,0,,,source,False,False,,0o2755
conductor/tracks/track-07,directory,3,0,,,source,False,False,,0o2755
conductor/tracks/track-08,directory,3,0,,,source,False,False,,0o2755
conductor/tracks/track-09,directory,3,0,,,source,False,False,,0o2755
conductor/tracks/track-10,directory,3,0,,,source,False,False,,0o2755
