donor,path,depth,direct_file_count,direct_child_dir_count,recursive_file_count,recursive_bytes,languages,classifications,children
defyxVPN,macos/Runner.xcodeproj/xcshareddata/xcschemes,4,1,0,1,3695,unknown,implementation,
defyxVPN,macos/Runner.xcworkspace,2,1,1,2,462,unknown,implementation,xcshareddata
defyxVPN,macos/Runner.xcworkspace/xcshareddata,3,1,0,1,238,unknown,implementation,
defyxVPN,macos/Runner/Assets.xcassets,3,0,1,8,164317,json;unknown,configuration;media,AppIcon.appiconset
defyxVPN,macos/Runner/Assets.xcassets/AppIcon.appiconset,4,8,0,8,164317,json;unknown,configuration;media,
defyxVPN,macos/Runner/Base.lproj,3,1,0,1,23729,unknown,implementation,
defyxVPN,macos/Runner/Configs,3,4,0,4,1344,unknown,implementation,
defyxVPN,macos/RunnerTests,2,1,0,1,290,swift,implementation,
defyxVPN,scripts,1,1,0,1,8954,shell,script,
defyxVPN,test,1,1,0,1,975,dart,test-or-fixture,
defyxVPN,web,1,3,1,7,43183,html;json;unknown,media;ui-or-product,icons
defyxVPN,web/icons,2,4,0,4,40136,unknown,media,
defyxVPN,windows,1,2,2,18,68499,c;cpp;unknown,implementation;media,flutter;runner
defyxVPN,windows/flutter,2,4,0,4,5582,c;cpp;unknown,implementation,
defyxVPN,windows/runner,2,11,1,12,58472,c;cpp;unknown,implementation;media,resources
defyxVPN,windows/runner/resources,3,1,0,1,33772,unknown,media,
goida-vpn-configs,.,0,3,4,74,137859630,json;markdown;python;unknown;yaml,configuration;documentation;governance;implementation;media;repository-administration,.github;githubmirror;qr-codes;source
goida-vpn-configs,.github,1,0,1,2,2016,yaml,repository-administration,workflows
goida-vpn-configs,.github/workflows,2,2,0,2,2016,yaml,repository-administration,
goida-vpn-configs,githubmirror,1,26,0,26,137611952,unknown,implementation,
goida-vpn-configs,qr-codes,1,26,0,26,64143,unknown,media,
goida-vpn-configs,source,1,4,2,17,101021,json;python;unknown,configuration;governance;implementation,config;src
goida-vpn-configs,source/config,2,3,0,3,26697,json,configuration,
goida-vpn-configs,source/src,2,10,0,10,35125,python,implementation,
goida-vpn-site,.,0,3,2,69,1203553,css;html;javascript;json;markdown;python;unknown;yaml,configuration;documentation;governance;implementation;media;repository-administration;ui-or-product,.github;source
goida-vpn-site,.github,1,0,1,1,2802,yaml,repository-administration,workflows
goida-vpn-site,.github/workflows,2,1,0,1,2802,yaml,repository-administration,
goida-vpn-site,source,1,5,1,65,1152067,css;html;javascript;json;python;unknown,configuration;implementation;media;ui-or-product,app
goida-vpn-site,source/app,2,3,4,60,1137095,css;html;javascript;json;python;unknown,media;ui-or-product,routes;services;static;templates
goida-vpn-site,source/app/routes,3,3,0,3,5306,python,ui-or-product,
goida-vpn-site,source/app/services,3,3,0,3,20814,python,ui-or-product,
goida-vpn-site,source/app/static,3,3,6,41,887150,css;javascript;json;unknown,media;ui-or-product,css;i18n;images;js;media;qr-codes
goida-vpn-site,source/app/static/css,4,1,0,1,74057,css,ui-or-product,
goida-vpn-site,source/app/static/i18n,4,1,0,1,130518,json,ui-or-product,
goida-vpn-site,source/app/static/images,4,1,0,1,62549,unknown,media,
goida-vpn-site,source/app/static/js,4,4,0,4,34095,javascript,ui-or-product,
goida-vpn-site,source/app/static/media,4,5,0,5,480341,unknown,media,
goida-vpn-site,source/app/static/qr-codes,4,26,0,26,64143,unknown,media,
goida-vpn-site,source/app/templates,3,2,1,10,214195,html,ui-or-product,components
goida-vpn-site,source/app/templates/components,4,8,0,8,144836,html,ui-or-product,
