wave,donor,module,surfaces,high_signal_surfaces,ui_product_surfaces,bytes
234,dns_blocklists,dnsmasq/light.txt,1,0,0,1196322
234,dns_blocklists,dnsmasq/multi.txt,1,0,0,4189081
234,dns_blocklists,dnsmasq/native.amazon.txt,1,0,0,13649
234,dns_blocklists,dnsmasq/native.apple.txt,1,0,0,4344
234,dns_blocklists,dnsmasq/native.huawei.txt,1,0,0,6623
234,dns_blocklists,dnsmasq/native.lgwebos.txt,1,0,0,11584
234,dns_blocklists,dnsmasq/native.oppo-realme.txt,1,0,0,18108
234,dns_blocklists,dnsmasq/native.roku.txt,1,0,0,3242
234,dns_blocklists,dnsmasq/native.samsung.txt,1,0,0,7758
234,dns_blocklists,dnsmasq/native.tiktok.extended.txt,1,0,0,22458
234,dns_blocklists,dnsmasq/native.tiktok.txt,1,0,0,16140
234,dns_blocklists,dnsmasq/native.vivo.txt,1,0,0,8977
234,dns_blocklists,dnsmasq/native.winoffice.txt,1,0,0,15785
234,dns_blocklists,dnsmasq/native.xiaomi.txt,1,0,0,12071
234,dns_blocklists,dnsmasq/nosafesearch.txt,1,0,0,5617
234,dns_blocklists,dnsmasq/nsfw.txt,1,0,0,2686710
234,dns_blocklists,dnsmasq/popupads.txt,1,0,0,1456106
234,dns_blocklists,dnsmasq/pro.mini.txt,1,0,0,2147124
234,dns_blocklists,dnsmasq/pro.plus.mini.txt,1,0,0,2449824
234,dns_blocklists,dnsmasq/pro.plus.txt,1,0,0,6696255
234,dns_blocklists,dnsmasq/pro.txt,1,0,0,6178166
234,dns_blocklists,dnsmasq/social.txt,1,0,0,21459
234,dns_blocklists,dnsmasq/tif-ips.txt,1,0,0,1516428
234,dns_blocklists,dnsmasq/tif.medium.txt,1,0,0,10171513
234,dns_blocklists,dnsmasq/tif.mini.txt,1,0,0,5729445
234,dns_blocklists,dnsmasq/tif.txt,1,0,0,42208803
234,dns_blocklists,dnsmasq/ultimate.mini.txt,1,0,0,2797419
234,dns_blocklists,dnsmasq/ultimate.txt,1,0,0,7188968
234,dns_blocklists,dnsmasq/urlshortener.txt,1,0,0,192675
234,dns_blocklists,domains/blocklist-referral.txt,1,0,0,49972
