donor,path,sha256,language,kind,symbol,line,snippet
Hiddify-Manager-dev,common/google-bbr.sh,c8b22a3704ff38211bf8ce23647e22e1a7fe4ffc384a978ac0f575ea170cca91,shell,function,_os_full,64,_os_full() {
Hiddify-Manager-dev,common/google-bbr.sh,c8b22a3704ff38211bf8ce23647e22e1a7fe4ffc384a978ac0f575ea170cca91,shell,function,_os_ver,70,_os_ver() {
Hiddify-Manager-dev,common/google-bbr.sh,c8b22a3704ff38211bf8ce23647e22e1a7fe4ffc384a978ac0f575ea170cca91,shell,function,_error_detect,75,_error_detect() {
Hiddify-Manager-dev,common/google-bbr.sh,c8b22a3704ff38211bf8ce23647e22e1a7fe4ffc384a978ac0f575ea170cca91,shell,function,_is_digit,84,_is_digit(){
Hiddify-Manager-dev,common/google-bbr.sh,c8b22a3704ff38211bf8ce23647e22e1a7fe4ffc384a978ac0f575ea170cca91,shell,function,_is_64bit,93,_is_64bit(){
Hiddify-Manager-dev,common/google-bbr.sh,c8b22a3704ff38211bf8ce23647e22e1a7fe4ffc384a978ac0f575ea170cca91,shell,function,_version_ge,101,_version_ge(){
Hiddify-Manager-dev,common/google-bbr.sh,c8b22a3704ff38211bf8ce23647e22e1a7fe4ffc384a978ac0f575ea170cca91,shell,function,get_valid_valname,105,get_valid_valname(){
Hiddify-Manager-dev,common/google-bbr.sh,c8b22a3704ff38211bf8ce23647e22e1a7fe4ffc384a978ac0f575ea170cca91,shell,function,get_hint,111,get_hint(){
Hiddify-Manager-dev,common/google-bbr.sh,c8b22a3704ff38211bf8ce23647e22e1a7fe4ffc384a978ac0f575ea170cca91,shell,function,display_menu,118,display_menu(){
Hiddify-Manager-dev,common/google-bbr.sh,c8b22a3704ff38211bf8ce23647e22e1a7fe4ffc384a978ac0f575ea170cca91,shell,function,get_latest_version,170,get_latest_version() {
Hiddify-Manager-dev,common/google-bbr.sh,c8b22a3704ff38211bf8ce23647e22e1a7fe4ffc384a978ac0f575ea170cca91,shell,function,get_char,198,get_char() {
Hiddify-Manager-dev,common/google-bbr.sh,c8b22a3704ff38211bf8ce23647e22e1a7fe4ffc384a978ac0f575ea170cca91,shell,function,check_bbr_status,208,check_bbr_status() {
Hiddify-Manager-dev,common/google-bbr.sh,c8b22a3704ff38211bf8ce23647e22e1a7fe4ffc384a978ac0f575ea170cca91,shell,function,check_kernel_version,217,check_kernel_version() {
Hiddify-Manager-dev,common/google-bbr.sh,c8b22a3704ff38211bf8ce23647e22e1a7fe4ffc384a978ac0f575ea170cca91,shell,function,check_os,227,check_os() {
Hiddify-Manager-dev,common/google-bbr.sh,c8b22a3704ff38211bf8ce23647e22e1a7fe4ffc384a978ac0f575ea170cca91,shell,function,sysctl_config,256,sysctl_config() {
