wave,module_id,donor,module_path,surface_count,representative_path,representative_sha256,first_path,last_path
post-refactor-20c,PR137-M0025,Exclave-dev,bin/init/action,1,bin/init/action/naive.sh,46c54a7e9f45c664057f30c05361e509646f4c19e9ddccb89c3cfea9f47f9c4e,bin/init/action/naive.sh,bin/init/action/naive.sh
post-refactor-20c,PR137-M0026,Exclave-dev,bin/lib,1,bin/lib/core.sh,2e70aed86b2a0d75b0cbe3748fcd02d067ed1b79f9e99f3b3a08bc16d421f030,bin/lib/core.sh,bin/lib/core.sh
post-refactor-20c,PR137-M0027,Exclave-dev,bin/lib/core,2,bin/lib/core/build.sh,4b4e3ec3cd40ec2ded13d3558f41f66a3cc654e11b40b6886241b17bbe824450,bin/lib/core/build.sh,bin/lib/core/debug.sh
post-refactor-20c,PR137-M0028,Exclave-dev,bin/plugin,2,bin/plugin/naive.sh,02cd2c0ffaeb31842d2aa9844bf92890afe08d2f3cbce7232084a93e083d1d74,bin/plugin/naive.sh,bin/plugin/shadowquic.sh
post-refactor-20c,PR137-M0029,Exclave-dev,bin/plugin/naive,5,bin/plugin/naive/arm64-v8a.sh,8e7ad791db2c734cfc0fd03b56b8a1f4a2bd371163a07d83cb7e86f97c928f5e,bin/plugin/naive/arm64-v8a.sh,bin/plugin/naive/x86_64.sh
post-refactor-20c,PR137-M0030,Exclave-dev,bin/plugin/shadowquic,5,bin/plugin/shadowquic/arm64-v8a.sh,2ed5feadb54060c14b77d6839afe9d0781ec9395fdd15b347ba91d08d6eceaf2,bin/plugin/shadowquic/arm64-v8a.sh,bin/plugin/shadowquic/x86_64.sh
post-refactor-20c,PR137-M0031,Exclave-dev,bin/rust-linker,3,bin/rust-linker/linker-wrapper.bat,f94f07dbd9ce4131ffc8d2d23e8ec38937aa8d6c83f0edd302c2a5b52b25b2cb,bin/rust-linker/linker-wrapper.bat,bin/rust-linker/linker-wrapper.sh
post-refactor-20c,PR137-M0032,Exclave-dev,app/src/main,2,app/src/main/java/io/nekohasekai/sagernet/bg/test/DebugInstance.kt,e8b946fcd2c82688e499a425a359bab9e784f97e8417a755d58f3ff75c23913f,app/src/main/java/io/nekohasekai/sagernet/bg/test/DebugInstance.kt,app/src/main/java/io/nekohasekai/sagernet/bg/test/V2RayTestInstance.kt
post-refactor-20c,PR137-M0033,Exclave-dev,app,3,app/.gitignore,5c3174b74edc6f2b9e0743594b8bd3c7f31e4f4405758cc9872b3fe1de1d28b4,app/.gitignore,app/proguard-rules.pro
post-refactor-20c,PR137-M0034,Exclave-dev,app/schemas/io.nekohasekai.sagernet.database.SagerDatabase,35,app/schemas/io.nekohasekai.sagernet.database.SagerDatabase/1.json,2a01e5630bbbdd1b6dd970b4950f9be1cc6ddd5ac44a4ce1eb634f52ace7ae9e,app/schemas/io.nekohasekai.sagernet.database.SagerDatabase/1.json,app/schemas/io.nekohasekai.sagernet.database.SagerDatabase/9.json
post-refactor-20c,PR137-M0035,Exclave-dev,app/schemas/io.nekohasekai.sagernet.database.preference.InMemoryDatabase,1,app/schemas/io.nekohasekai.sagernet.database.preference.InMemoryDatabase/1.json,8d3a5f0c0269a0f1f99cef4b7523295621f4b5cc7f672bfd871fb4acfb223a7e,app/schemas/io.nekohasekai.sagernet.database.preference.InMemoryDatabase/1.json,app/schemas/io.nekohasekai.sagernet.database.preference.InMemoryDatabase/1.json
post-refactor-20c,PR137-M0036,Exclave-dev,app/schemas/io.nekohasekai.sagernet.database.preference.PublicDatabase,1,app/schemas/io.nekohasekai.sagernet.database.preference.PublicDatabase/1.json,8d3a5f0c0269a0f1f99cef4b7523295621f4b5cc7f672bfd871fb4acfb223a7e,app/schemas/io.nekohasekai.sagernet.database.preference.PublicDatabase/1.json,app/schemas/io.nekohasekai.sagernet.database.preference.PublicDatabase/1.json
post-refactor-20c,PR137-M0037,Exclave-dev,app/src/main,100,app/src/main/AndroidManifest.xml,0d90a8ff2cd8773f26458aeccb186206a720f2e1f509005a6cf45d08b45ad2f7,app/src/main/AndroidManifest.xml,app/src/main/java/io/nekohasekai/sagernet/fmt/gson/JsonLazyInterface.java
post-refactor-20c,PR137-M0038,Exclave-dev,app/src/main,100,app/src/main/java/io/nekohasekai/sagernet/fmt/gson/JsonOr.java,b6b8a41a94e78622cc6a932fcbef7c6bbc543d7ffe966ca74b8978aa9a82116b,app/src/main/java/io/nekohasekai/sagernet/fmt/gson/JsonOr.java,app/src/main/java/io/nekohasekai/sagernet/ui/ToolsFragment.kt
post-refactor-20c,PR137-M0039,Exclave-dev,app/src/main,100,app/src/main/java/io/nekohasekai/sagernet/ui/TrafficFragment.kt,f0dfd316b4566c832dcde62e240d0004a717061c8b03ce240759950bd668eb46,app/src/main/java/io/nekohasekai/sagernet/ui/TrafficFragment.kt,app/src/main/res/drawable/ic_baseline_color_lens_24.xml
post-refactor-20c,PR137-M0040,Exclave-dev,app/src/main,100,app/src/main/res/drawable/ic_baseline_compare_arrows_24.xml,7235f3daed6de13bf55fb1d8d17a0669f275b8b8c91c757bbd3de38569fda1d2,app/src/main/res/drawable/ic_baseline_compare_arrows_24.xml,app/src/main/res/layout/layout_link_dialog.xml
post-refactor-20c,PR137-M0041,Exclave-dev,app/src/main,99,app/src/main/res/layout/layout_loading.xml,8c0a743ffa6343575d3f948ceced7fcf26bb384f2e35fe07d935b11d76fbdb7e,app/src/main/res/layout/layout_loading.xml,app/src/main/res/xml/wireguard_preferences.xml
post-refactor-20c,PR137-M0042,Exclave-dev,app/src/oss,5,app/src/oss/play/contact-email.txt,65fb10b7d3c63f1f59a0e5ef76450723cf2c6edffb6a1bea131e6537a4777394,app/src/oss/play/contact-email.txt,app/src/oss/play/listings/en-US/title.txt
