donor,path,sha256,size_bytes,file_type,classification,language,authority_status,semantic_record_ids,notes
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ResultsScreen.kt,784b7cbcea1c1cbcd912087cf7968588fb75bebc41c0550c0e6ebc812591be19,12994,file,implementation,Kotlin,donor-evidence,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ScanScreen.kt,ecae8002e0864fee6297a0ddbe93e0075bc94463111fbe224f7f852d700803fb,9358,file,implementation,Kotlin,donor-evidence,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/drawable/ic_launcher_background.xml,ed423c73a6f40a4d2909f0901e60527b3a807cd59e1b5593bcaae1808b1c6321,5606,file,configuration,XML,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/drawable/ic_launcher_foreground.xml,b27d486b9529d35fe31bda300ab1c2323407e848e88f7a713e105f6fd2c7d7ef,1703,file,configuration,XML,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/drawable/ic_launcher_foreground_raw.png,6d56d730dbebd807434a698673350feeaad37c081da9e48dcf2e4ff55c8adbae,351804,file,media,other,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/drawable-nodpi/ic_launcher_foreground_adaptive.png,cce8179e9b8871e38a5bbbd12c6e5a39dd81a91d78a538ba53e8461283d4940b,227446,file,media,other,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/drawable-nodpi/senpai_logo.png,e7fb3f2ee710945168495a1d84f9ce9cff6818aac3147b4c1f3e94438a2d1b0e,1665008,file,media,other,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,bc0211aa71836d5530bee58956c858145446942525427243b539921cdd88d3c3,279,file,configuration,XML,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,bc0211aa71836d5530bee58956c858145446942525427243b539921cdd88d3c3,279,file,configuration,XML,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/mipmap-hdpi/ic_launcher.png,b7bb093d84f022e7b79e7f2102f42870961af417f5feb4b610e2a7371c59e315,7720,file,media,other,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/mipmap-hdpi/ic_launcher_round.png,270c75ee9e3caecaf9900e54cab83a7b7f8211b8f28155be81f528652118de37,7898,file,media,other,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/mipmap-mdpi/ic_launcher.png,23a378a372a50cc5d1f6935ad0a1abe21b011b59d80cd17cbe711e274fa4686e,3682,file,media,other,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/mipmap-mdpi/ic_launcher_round.png,cbad023886138ba1b06fc556980d9e427dc43f43aa41fb8b70079952e7c655f8,3784,file,media,other,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/mipmap-xhdpi/ic_launcher.png,526237dbe1d3056d14994bbad96872d93de14a290334b8422f9f47982818fd0c,13203,file,media,other,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/mipmap-xhdpi/ic_launcher_round.png,242fc04983fa842d4b6c69f2dba76adbb6f7527343a4fa73dda685fae3021c9e,13454,file,media,other,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/mipmap-xxhdpi/ic_launcher.png,f496cb0d6c8a01648c723d67112cfad29a1d2197e903cad5598d0dbb5235287b,28050,file,media,other,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/mipmap-xxhdpi/ic_launcher_round.png,000e2bbe42d2ebcbb2ec211c2daea0cfc077fb8c97da6c3903866bad2466d5d3,28425,file,media,other,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/mipmap-xxxhdpi/ic_launcher.png,bd2d5a73e94d11828986c3c78c111331ea689630d8c37fa1f357eb5aefe11a4c,47334,file,media,other,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/mipmap-xxxhdpi/ic_launcher_round.png,7afcfd272dd932546ed647cd286653581fb956538183872e52c146230d18c9f6,47892,file,media,other,donor-evidence,S7-045,resolved-by-seventh-order-ledger
