donor,path,change_type,previous_sha256,current_sha256
whitedns_android,app/src/test/java/shop/whitedns/client/scan/ScanResolverChunkerTest.kt,same,ea56c6e6d8507f3fd462d522de79d9d63301f0be75fe99489937e1b6c11cf307,ea56c6e6d8507f3fd462d522de79d9d63301f0be75fe99489937e1b6c11cf307
whitedns_android,app/src/test/java/shop/whitedns/client/scan/ScannerResultStoreTest.kt,removed,fe7bd59b39326c957e5b4513dc112eaba4319602a284948c4f88e7c530b2103a,n/a
whitedns_android,app/src/test/java/shop/whitedns/client/scan/StormDnsScanTelemetryTest.kt,same,dbb131cbef8a572c063b04c1eee397dd0983d461e48fa6ab17a561d06c3a85cd,dbb131cbef8a572c063b04c1eee397dd0983d461e48fa6ab17a561d06c3a85cd
whitedns_android,app/src/test/java/shop/whitedns/client/storm/StormDnsConfigRendererTest.kt,modified,fb49c1cd599d193cf8697bad129c2ad56b33f05973a1941004b612465ec6e002,34f76b092381ef5211fd938350c6c218f60d424494e44ae9d13678f1fe9e59d5
whitedns_android,app/src/test/java/shop/whitedns/client/storm/StormDnsProcessManagerTest.kt,same,dc6493e1a6a96da54731a3235e4c48f4b58ad23d42aa8a2d6b80682e1137b596,dc6493e1a6a96da54731a3235e4c48f4b58ad23d42aa8a2d6b80682e1137b596
whitedns_android,app/src/test/java/shop/whitedns/client/vpn/WhiteDnsVpnEventsTest.kt,same,bf437342ed8e447f88f6f4adc714ab7c28651b74f6b6b5280a95a21af57c82c9,bf437342ed8e447f88f6f4adc714ab7c28651b74f6b6b5280a95a21af57c82c9
whitedns_android,build.gradle.kts,same,6e2fae5d4415af46d8e937330c81f0b78573bf26cecb14a8fc0540ee0095f112,6e2fae5d4415af46d8e937330c81f0b78573bf26cecb14a8fc0540ee0095f112
whitedns_android,docs/STORMDNS_UPSTREAM_POLICY.md,same,51f0100efac93d7da45b6fa4b6b039e970243ee51c4aa7f09215065f6a8a79ed,51f0100efac93d7da45b6fa4b6b039e970243ee51c4aa7f09215065f6a8a79ed
whitedns_android,docs/superpowers/plans/2026-05-16-accessibility.md,same,f603a099686013cedf894bcbd064f3152ea6a6305dc924bbf7ff22b9567708c1,f603a099686013cedf894bcbd064f3152ea6a6305dc924bbf7ff22b9567708c1
whitedns_android,docs/superpowers/plans/2026-05-19-accessibility-fixes.md,same,90e4cd4c01b3f1e73d20df61eeb33debbfcdb98aa098346be5bf2623b2da193e,90e4cd4c01b3f1e73d20df61eeb33debbfcdb98aa098346be5bf2623b2da193e
whitedns_android,gradle.properties,same,991b7941778b5bd95a9e44f9baeacf09afe58fa73e8aa4b3462b579160855994,991b7941778b5bd95a9e44f9baeacf09afe58fa73e8aa4b3462b579160855994
whitedns_android,gradle/gradle-daemon-jvm.properties,same,231649d2f8e8dc24310f18c921e3ae33fd2715b7f48a7ddcaf27a85003e0729a,231649d2f8e8dc24310f18c921e3ae33fd2715b7f48a7ddcaf27a85003e0729a
whitedns_android,gradle/libs.versions.toml,same,a57bf8917e0cb31cb87ea6e41eece0cf6f0b0bb16b9cabec615d2e1afdbe3c0f,a57bf8917e0cb31cb87ea6e41eece0cf6f0b0bb16b9cabec615d2e1afdbe3c0f
whitedns_android,gradle/wrapper/gradle-wrapper.jar,same,498495120a03b9a6ab5d155f5de3c8f0d986a449153702fb80fc80e134484f17,498495120a03b9a6ab5d155f5de3c8f0d986a449153702fb80fc80e134484f17
whitedns_android,gradle/wrapper/gradle-wrapper.properties,same,83ab1da12d580c681e2ce13a33548ceaec06d736f17193e0bcbcca2489cbd904,83ab1da12d580c681e2ce13a33548ceaec06d736f17193e0bcbcca2489cbd904
whitedns_android,gradlew,same,a3648413b47ef77af21d5ebc36c687c7d103aaef3e17f33de7d4f080a6f300a3,a3648413b47ef77af21d5ebc36c687c7d103aaef3e17f33de7d4f080a6f300a3
whitedns_android,gradlew.bat,same,2209f919a22528af59a2af2ad97e8d056cca18e39f7d87aa3fd549a73b180150,2209f919a22528af59a2af2ad97e8d056cca18e39f7d87aa3fd549a73b180150
whitedns_android,scripts/check-stormdns-boundary.sh,same,e314aa8825ab4abb0824e9eff7edf52beafc531c0904bcce0575dd70226739f1,e314aa8825ab4abb0824e9eff7edf52beafc531c0904bcce0575dd70226739f1
whitedns_android,settings.gradle.kts,same,d64ce4b278cf419a4f89ec4feaea7dc9e6a1e3e49a9b1a8525a40ff0bdbaf70c,d64ce4b278cf419a4f89ec4feaea7dc9e6a1e3e49a9b1a8525a40ff0bdbaf70c
whitedns_android,third_party/fonts/vazirmatn/OFL.txt,same,e6f4ce7b6c830d5a25a4f8ac777c267cd7d3c180bc2a7150ca57cbb9b280c4b7,e6f4ce7b6c830d5a25a4f8ac777c267cd7d3c180bc2a7150ca57cbb9b280c4b7
whitedns_android,third_party/fonts/vazirmatn/README.md,same,2b1c4d4c461e04b599ccf8deff8ff25a4ec1555c420aed7065d83e54c285cbcb,2b1c4d4c461e04b599ccf8deff8ff25a4ec1555c420aed7065d83e54c285cbcb
whitedns_cleanip,.github/workflows/build-apk.yml,same,a9321c4f31a926aac37e8d31f5b56826ff895eea12e8e55d6edc209576aaee4c,a9321c4f31a926aac37e8d31f5b56826ff895eea12e8e55d6edc209576aaee4c
whitedns_cleanip,.github/workflows/build-desktop.yml,removed,110ee9b9a0792cf289ff56f394bdc01353fa558b80c0e8caf33e7277fcbe68b6,n/a
whitedns_cleanip,.gitignore,same,93c16a7b049612b4c8529d2c322ea9da66854495918e8059805baff29152ebe3,93c16a7b049612b4c8529d2c322ea9da66854495918e8059805baff29152ebe3
whitedns_cleanip,.idea/.gitignore,same,a9e54fc4f08bc97d82c04bd86ff37d3af84ba9ef4ad87fcfcb438dab622e8aaa,a9e54fc4f08bc97d82c04bd86ff37d3af84ba9ef4ad87fcfcb438dab622e8aaa
