donor,path,kind,symbol,line
Nova-Proxy-App-main,core_api.go,symbol,V2RaySaveSettings,n/a
Nova-Proxy-App-main,core_api.go,symbol,runCoreMain,n/a
Nova-Proxy-App-main,core_api.go,symbol,coreService,n/a
Nova-Proxy-App-main,core_api.go,symbol,EmptyArgs,n/a
Nova-Proxy-App-main,core_api.go,symbol,BoolReply,n/a
Nova-Proxy-App-main,core_api.go,symbol,StringReply,n/a
Nova-Proxy-App-main,core_api.go,symbol,StatsReply,n/a
Nova-Proxy-App-main,core_api.go,symbol,CoreInfoReply,n/a
Nova-Proxy-App-main,core_api.go,symbol,TUNStatusReply,n/a
Nova-Proxy-App-main,core_api.go,symbol,SetModeArgs,n/a
Nova-Proxy-App-main,core_api.go,symbol,LogsArgs,n/a
Nova-Proxy-App-main,core_api.go,symbol,StringArgs,n/a
Nova-Proxy-App-main,core_api.go,symbol,SetGASDialAddrArgs,n/a
Nova-Proxy-App-main,core_api.go,symbol,SetGASRelayArgs,n/a
Nova-Proxy-App-main,core_api.go,symbol,V2RayGetConfigsReply,n/a
Nova-Proxy-App-main,core_api.go,symbol,V2RayAddConfigReply,n/a
Nova-Proxy-App-main,core_api.go,symbol,V2RayIDArgs,n/a
Nova-Proxy-App-main,core_api.go,symbol,V2RayCoreStatusReply,n/a
Nova-Proxy-App-main,core_api.go,symbol,V2RaySettingsReply,n/a
Nova-Proxy-App-main,core_api.go,symbol,V2RaySettingsArgs,n/a
Nova-Proxy-App-main,core_client.go,symbol,newCoreClient,n/a
Nova-Proxy-App-main,core_client.go,symbol,dial,n/a
Nova-Proxy-App-main,core_client.go,symbol,call,n/a
Nova-Proxy-App-main,core_client.go,symbol,ensureRunning,n/a
Nova-Proxy-App-main,core_client.go,symbol,ensureRunningWithElevation,n/a
Nova-Proxy-App-main,core_client.go,symbol,getInfo,n/a
Nova-Proxy-App-main,core_client.go,symbol,reloadIfRunning,n/a
Nova-Proxy-App-main,core_client.go,symbol,reloadCertificateIfRunning,n/a
Nova-Proxy-App-main,core_client.go,symbol,shutdownIfRunning,n/a
Nova-Proxy-App-main,core_client.go,symbol,StartProxy,n/a
Nova-Proxy-App-main,core_client.go,symbol,StopProxy,n/a
Nova-Proxy-App-main,core_client.go,symbol,IsProxyRunning,n/a
Nova-Proxy-App-main,core_client.go,symbol,GetStats,n/a
Nova-Proxy-App-main,core_client.go,symbol,StartTUN,n/a
Nova-Proxy-App-main,core_client.go,symbol,StopTUN,n/a
Nova-Proxy-App-main,core_client.go,symbol,GetTUNStatus,n/a
Nova-Proxy-App-main,core_client.go,symbol,getTUNStatusWithError,n/a
Nova-Proxy-App-main,core_client.go,symbol,StartLogCapture,n/a
Nova-Proxy-App-main,core_client.go,symbol,StopLogCapture,n/a
Nova-Proxy-App-main,core_client.go,symbol,IsLogCaptureEnabled,n/a
Nova-Proxy-App-main,core_client.go,symbol,GetRecentLogs,n/a
Nova-Proxy-App-main,core_client.go,symbol,ClearLogs,n/a
Nova-Proxy-App-main,core_client.go,symbol,GetRouteEvents,n/a
Nova-Proxy-App-main,core_client.go,symbol,SetProxyMode,n/a
Nova-Proxy-App-main,core_client.go,symbol,GetProxyMode,n/a
Nova-Proxy-App-main,core_client.go,symbol,Ping,n/a
Nova-Proxy-App-main,core_client.go,symbol,SetGASDialAddr,n/a
Nova-Proxy-App-main,core_client.go,symbol,SetGASRelay,n/a
