donor,path,sha256,size_bytes,classification,authority_status,language,semantic_record_ids,resolution,notes
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,16231,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/contracts/IDialerService.kt,5c8f9e14995c701649ab42f6d9d600bc4d9578c9fe38685995d09d92913146cd,160,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/contracts/ServiceControl.kt,e76120a66dd211510c4b3ce4b467a598ed5184b2bb0816cf2618c22cbfb1b3f6,938,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/contracts/Tun2SocksControl.kt,47e16134bbbad1322e260c7e1f26d2734f34f047652b2ce52d5036fba8ff07a1,511,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/core/CoreConfigContextBuilder.kt,e5b8c7bd9848568d67b04ddacb916296c88240b86ce1808da9d1076721795d2f,11712,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/core/CoreConfigManager.kt,0df5678e41faa485c0c0040d24a2fa07b70546495cdd37c6fe43c2368022ecef,51787,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/core/CoreNativeManager.kt,5b959ba1598154d182589df1fecb35f5db67f825a1a397e9c78fa3575fcad745,3250,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/core/CoreOutboundBuilder.kt,63f0a2b4b3cd0e3218cde089ea04c46e59b0a698f10ec867e6b31182e9dee4eb,30179,implementation,authoritative,kotlin,TW-SEM005;TW-SEM007;TW-SEM010;TW-SEM012;TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/core/CoreServiceManager.kt,f21242595264d86c00467e75ae254ac4fb6a23bcc1dfe6883133d96e0ae583ad,18774,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/core/LauncherManager.kt,b4891058abfabcbc5ac328e708d3dc5f20b623c34748a5654302908f1594a141,5217,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/AppInfo.kt,9ecc47e600c7ab411bec961f9e82580e3d22334b832691ea43257896e4b60584,156,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/CertSha256.kt,e3d47396f3a28d7f638f74c8306b4f06885bf5ea859eef5a2b7a4b4e26eae63c,272,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
