donor,path,language,symbol,file_sha256
LEGION2-main,src/stores/vulnStore.ts,TypeScript,Vulnerability,f19a1f2dd6319c0e6994b4e3f97f807c4874eb5c166d8c6d01e281ac5712a3a9
LEGION2-main,src/stores/vulnStore.ts,TypeScript,VulnStore,f19a1f2dd6319c0e6994b4e3f97f807c4874eb5c166d8c6d01e281ac5712a3a9
LEGION2-main,src/stores/vulnStore.ts,TypeScript,useVulnStore,f19a1f2dd6319c0e6994b4e3f97f807c4874eb5c166d8c6d01e281ac5712a3a9
LEGION2-main,src/stores/hostStore.ts,TypeScript,Host,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,HostStoreState,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,hasHostDataChanged,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,fieldsToCompare,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,existingValue,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,incomingValue,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,useHostStore,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,hostEvent,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,partialHost,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,idx,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,existing,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,updated,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,serviceEvent,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,ip,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,detailedHost,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,allHosts,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,existingHostsMap,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,mergedHosts,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,hasChanges,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,countsChanged,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,dbHostsIps,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,missingHosts,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,lastHosts,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,lastRange,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,cachedResult,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,selectVisibleHosts,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/hostStore.ts,TypeScript,selectVisibleHostsCached,65b9177572dadd412f666fd0b1d81cbde21224d989e4585255495ac962759044
LEGION2-main,src/stores/serviceStore.ts,TypeScript,ServiceStore,ef4805bd850b224d63a80b862073d8d3cf383548e56464e2215c9a1bed6ae276
LEGION2-main,src/stores/serviceStore.ts,TypeScript,useServiceStore,ef4805bd850b224d63a80b862073d8d3cf383548e56464e2215c9a1bed6ae276
LEGION2-main,src/stores/serviceStore.ts,TypeScript,serviceEvent,ef4805bd850b224d63a80b862073d8d3cf383548e56464e2215c9a1bed6ae276
LEGION2-main,src/stores/serviceStore.ts,TypeScript,store,ef4805bd850b224d63a80b862073d8d3cf383548e56464e2215c9a1bed6ae276
LEGION2-main,src/stores/serviceStore.ts,TypeScript,key,ef4805bd850b224d63a80b862073d8d3cf383548e56464e2215c9a1bed6ae276
LEGION2-main,src/stores/serviceStore.ts,TypeScript,existing,ef4805bd850b224d63a80b862073d8d3cf383548e56464e2215c9a1bed6ae276
LEGION2-main,src/stores/serviceStore.ts,TypeScript,index,ef4805bd850b224d63a80b862073d8d3cf383548e56464e2215c9a1bed6ae276
LEGION2-main,src/stores/serviceStore.ts,TypeScript,updated,ef4805bd850b224d63a80b862073d8d3cf383548e56464e2215c9a1bed6ae276
LEGION2-main,src/stores/serviceStore.ts,TypeScript,services,ef4805bd850b224d63a80b862073d8d3cf383548e56464e2215c9a1bed6ae276
LEGION2-main,src/stores/serviceStore.ts,TypeScript,cves,ef4805bd850b224d63a80b862073d8d3cf383548e56464e2215c9a1bed6ae276
LEGION2-main,src/utils/targetRange.ts,TypeScript,ipToNumber,a1a62beef53aef71fe7182b8f21c07a9b0a9107bd856e93b975871e14f31ebd4
LEGION2-main,src/utils/targetRange.ts,TypeScript,parts,a1a62beef53aef71fe7182b8f21c07a9b0a9107bd856e93b975871e14f31ebd4
LEGION2-main,src/utils/targetRange.ts,TypeScript,value,a1a62beef53aef71fe7182b8f21c07a9b0a9107bd856e93b975871e14f31ebd4
LEGION2-main,src/utils/targetRange.ts,TypeScript,octet,a1a62beef53aef71fe7182b8f21c07a9b0a9107bd856e93b975871e14f31ebd4
LEGION2-main,src/utils/targetRange.ts,TypeScript,isIpInCidr,a1a62beef53aef71fe7182b8f21c07a9b0a9107bd856e93b975871e14f31ebd4
LEGION2-main,src/utils/targetRange.ts,TypeScript,prefix,a1a62beef53aef71fe7182b8f21c07a9b0a9107bd856e93b975871e14f31ebd4
LEGION2-main,src/utils/targetRange.ts,TypeScript,ipNum,a1a62beef53aef71fe7182b8f21c07a9b0a9107bd856e93b975871e14f31ebd4
LEGION2-main,src/utils/targetRange.ts,TypeScript,networkNum,a1a62beef53aef71fe7182b8f21c07a9b0a9107bd856e93b975871e14f31ebd4
LEGION2-main,src/utils/targetRange.ts,TypeScript,mask,a1a62beef53aef71fe7182b8f21c07a9b0a9107bd856e93b975871e14f31ebd4
LEGION2-main,src/utils/targetRange.ts,TypeScript,isIpInRange,a1a62beef53aef71fe7182b8f21c07a9b0a9107bd856e93b975871e14f31ebd4
LEGION2-main,src/utils/targetRange.ts,TypeScript,startNum,a1a62beef53aef71fe7182b8f21c07a9b0a9107bd856e93b975871e14f31ebd4
LEGION2-main,src/utils/targetRange.ts,TypeScript,endPartTrimmed,a1a62beef53aef71fe7182b8f21c07a9b0a9107bd856e93b975871e14f31ebd4
LEGION2-main,src/utils/targetRange.ts,TypeScript,endNum,a1a62beef53aef71fe7182b8f21c07a9b0a9107bd856e93b975871e14f31ebd4
LEGION2-main,src/utils/targetRange.ts,TypeScript,startOctets,a1a62beef53aef71fe7182b8f21c07a9b0a9107bd856e93b975871e14f31ebd4
LEGION2-main,src/utils/targetRange.ts,TypeScript,lastOctet,a1a62beef53aef71fe7182b8f21c07a9b0a9107bd856e93b975871e14f31ebd4
LEGION2-main,src/utils/targetRange.ts,TypeScript,min,a1a62beef53aef71fe7182b8f21c07a9b0a9107bd856e93b975871e14f31ebd4
LEGION2-main,src/utils/targetRange.ts,TypeScript,max,a1a62beef53aef71fe7182b8f21c07a9b0a9107bd856e93b975871e14f31ebd4
LEGION2-main,src/utils/targetRange.ts,TypeScript,isIpInTargetRange,a1a62beef53aef71fe7182b8f21c07a9b0a9107bd856e93b975871e14f31ebd4
LEGION2-main,src/utils/targetRange.ts,TypeScript,trimmedTargets,a1a62beef53aef71fe7182b8f21c07a9b0a9107bd856e93b975871e14f31ebd4
LEGION2-main,src/utils/scanPhases.ts,TypeScript,getPhaseLabel,0c70477f27df135190f3f670e5387fe6342932201856d55efc60a7ee2754bf0f
LEGION2-main,src/utils/scanPhases.ts,TypeScript,phaseNumber,0c70477f27df135190f3f670e5387fe6342932201856d55efc60a7ee2754bf0f
LEGION2-main,src/utils/scanPhases.ts,TypeScript,phaseSuffix,0c70477f27df135190f3f670e5387fe6342932201856d55efc60a7ee2754bf0f
LEGION2-main,src/components/NetworkMap.tsx,TypeScript,NetworkMapProps,7fd2a4bf9ce16d569e9b61f039743d656b29a1901e91815abe2d9b4125eda534
LEGION2-main,src/components/NetworkMap.tsx,TypeScript,HostRole,7fd2a4bf9ce16d569e9b61f039743d656b29a1901e91815abe2d9b4125eda534
