donor,path,sha256,symbol,line,signature,language,symbol_id,semantic_record_ids,resolution
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/AppUI.kt,a4612f088d3f5d9728037510e79377da2b2ef8e9a0d43abe84c6fb579cecbdea,SessionRail,181,"private fun SessionRail(uiState: ScanUiState, onStop: () -> Unit) {",Kotlin,S7-SYM-00020,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/AppUI.kt,a4612f088d3f5d9728037510e79377da2b2ef8e9a0d43abe84c6fb579cecbdea,Row,200,Row(verticalAlignment = Alignment.CenterVertically) {,Kotlin,S7-SYM-00021,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/AppUI.kt,a4612f088d3f5d9728037510e79377da2b2ef8e9a0d43abe84c6fb579cecbdea,if,213,if (uiState.isRunning) {,Kotlin,S7-SYM-00022,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/AppUI.kt,a4612f088d3f5d9728037510e79377da2b2ef8e9a0d43abe84c6fb579cecbdea,Row,223,"Row(horizontalArrangement = Arrangement.spacedBy(8.dp), modifier = Modifier.fillMaxWidth()) {",Kotlin,S7-SYM-00023,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/AppUI.kt,a4612f088d3f5d9728037510e79377da2b2ef8e9a0d43abe84c6fb579cecbdea,if,229,if (uiState.isRunning) {,Kotlin,S7-SYM-00024,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/AppUI.kt,a4612f088d3f5d9728037510e79377da2b2ef8e9a0d43abe84c6fb579cecbdea,if,231,if (uiState.phase == SessionPhase.SPEED_TESTING && uiState.speedTotal > 0) {,Kotlin,S7-SYM-00025,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/AppUI.kt,a4612f088d3f5d9728037510e79377da2b2ef8e9a0d43abe84c6fb579cecbdea,RailMetric,250,"private fun RailMetric(label: String, value: String, modifier: Modifier, valueColor: Color = SignalText) {",Kotlin,S7-SYM-00026,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/AppUI.kt,a4612f088d3f5d9728037510e79377da2b2ef8e9a0d43abe84c6fb579cecbdea,Column,251,Column(modifier) {,Kotlin,S7-SYM-00027,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/AppUI.kt,a4612f088d3f5d9728037510e79377da2b2ef8e9a0d43abe84c6fb579cecbdea,SignalBackground,258,"private fun SignalBackground(modifier: Modifier = Modifier, content: @Composable () -> Unit) {",Kotlin,S7-SYM-00028,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/AppUI.kt,a4612f088d3f5d9728037510e79377da2b2ef8e9a0d43abe84c6fb579cecbdea,Box,259,Box(modifier.background(MaterialTheme.colorScheme.background)) {,Kotlin,S7-SYM-00029,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/AppUI.kt,a4612f088d3f5d9728037510e79377da2b2ef8e9a0d43abe84c6fb579cecbdea,Canvas,260,Canvas(Modifier.fillMaxSize()) {,Kotlin,S7-SYM-00030,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/AppUI.kt,a4612f088d3f5d9728037510e79377da2b2ef8e9a0d43abe84c6fb579cecbdea,while,263,while (x < size.width) {,Kotlin,S7-SYM-00031,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/AppUI.kt,a4612f088d3f5d9728037510e79377da2b2ef8e9a0d43abe84c6fb579cecbdea,while,268,while (y < size.height) {,Kotlin,S7-SYM-00032,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/DeskComponents.kt,9ebfefa582ce116dadf85571f6fdf4ce1a79a201608f8558f79301ac5da66908,Column,58,"Column(Modifier.padding(14.dp), verticalArrangement = Arrangement.spacedBy(12.dp)) {",Kotlin,S7-SYM-00033,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/DeskComponents.kt,9ebfefa582ce116dadf85571f6fdf4ce1a79a201608f8558f79301ac5da66908,Row,59,Row(verticalAlignment = Alignment.CenterVertically) {,Kotlin,S7-SYM-00034,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/DeskComponents.kt,9ebfefa582ce116dadf85571f6fdf4ce1a79a201608f8558f79301ac5da66908,Column,60,Column(Modifier.weight(1f)) {,Kotlin,S7-SYM-00035,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/DeskComponents.kt,9ebfefa582ce116dadf85571f6fdf4ce1a79a201608f8558f79301ac5da66908,Column,92,Column(Modifier.weight(1f)) {,Kotlin,S7-SYM-00036,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/DeskComponents.kt,9ebfefa582ce116dadf85571f6fdf4ce1a79a201608f8558f79301ac5da66908,Row,115,"Row(horizontalArrangement = Arrangement.spacedBy(7.dp), modifier = Modifier.fillMaxWidth()) {",Kotlin,S7-SYM-00037,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ExportScreen.kt,b09baed522669d90a0e615c8fda82d298656da6cd5b1dcd7a5c07797d769f71a,ExportScreen,43,"fun ExportScreen(uiState: ScanUiState, onGenerateExports: () -> Unit) {",Kotlin,S7-SYM-00038,S7-042,resolved-by-seventh-order-ledger
