wave,donor,directory,direct_files,direct_dirs
post-refactor-4d,geospoof-main,_locales/vi,1,0
post-refactor-4d,geospoof-main,_locales/zh_CN,1,0
post-refactor-4d,geospoof-main,assets,3,1
post-refactor-4d,geospoof-main,assets/store-listings,0,4
post-refactor-4d,geospoof-main,assets/store-listings/appstore,2,3
post-refactor-4d,geospoof-main,assets/store-listings/appstore/ios,8,0
post-refactor-4d,geospoof-main,assets/store-listings/appstore/ipados,8,0
post-refactor-4d,geospoof-main,assets/store-listings/appstore/macos,6,0
post-refactor-4d,geospoof-main,assets/store-listings/chrome,20,1
post-refactor-4d,geospoof-main,assets/store-listings/chrome/macos-1280x800,5,0
post-refactor-4d,geospoof-main,assets/store-listings/github,11,0
post-refactor-4d,geospoof-main,assets/store-listings/promo,2,0
post-refactor-4d,geospoof-main,cdk,12,2
post-refactor-4d,geospoof-main,cdk/lib,1,4
post-refactor-4d,geospoof-main,cdk/lib/config,1,0
post-refactor-4d,geospoof-main,cdk/lib/constructs,1,0
post-refactor-4d,geospoof-main,cdk/lib/stacks,1,0
post-refactor-4d,geospoof-main,cdk/lib/util,1,0
post-refactor-4d,geospoof-main,cdk/test,1,0
post-refactor-4d,geospoof-main,docs,5,0
post-refactor-4d,geospoof-main,icons,7,0
post-refactor-4d,geospoof-main,safari,12,10
post-refactor-4d,geospoof-main,safari/GeoSpoof Widget,5,1
post-refactor-4d,geospoof-main,safari/GeoSpoof Widget/Assets.xcassets,1,4
post-refactor-4d,geospoof-main,safari/GeoSpoof Widget/Assets.xcassets/AccentColor.colorset,1,0
post-refactor-4d,geospoof-main,safari/GeoSpoof Widget/Assets.xcassets/AppIcon.appiconset,1,0
post-refactor-4d,geospoof-main,safari/GeoSpoof Widget/Assets.xcassets/LargeIcon.imageset,5,0
post-refactor-4d,geospoof-main,safari/GeoSpoof Widget/Assets.xcassets/WidgetBackground.colorset,1,0
post-refactor-4d,geospoof-main,safari/GeoSpoof.xcodeproj,1,2
post-refactor-4d,geospoof-main,safari/GeoSpoof.xcodeproj/project.xcworkspace,1,0
post-refactor-4d,geospoof-main,safari/GeoSpoof.xcodeproj/xcshareddata,0,1
post-refactor-4d,geospoof-main,safari/GeoSpoof.xcodeproj/xcshareddata/xcschemes,3,0
post-refactor-4d,geospoof-main,safari/Shared (App),8,2
post-refactor-4d,geospoof-main,safari/Shared (App)/Assets.xcassets,1,9
post-refactor-4d,geospoof-main,safari/Shared (App)/Assets.xcassets/AccentColor.colorset,1,0
post-refactor-4d,geospoof-main,safari/Shared (App)/Assets.xcassets/AppIcon.appiconset,13,0
post-refactor-4d,geospoof-main,safari/Shared (App)/Assets.xcassets/AppIconDark.appiconset,2,0
post-refactor-4d,geospoof-main,safari/Shared (App)/Assets.xcassets/IconPreviewDark.imageset,2,0
post-refactor-4d,geospoof-main,safari/Shared (App)/Assets.xcassets/IconPreviewLight.imageset,2,0
post-refactor-4d,geospoof-main,safari/Shared (App)/Assets.xcassets/LargeIcon.imageset,4,0
post-refactor-4d,geospoof-main,safari/Shared (App)/Assets.xcassets/MenuBarIcon.imageset,4,0
post-refactor-4d,geospoof-main,safari/Shared (App)/Assets.xcassets/PermissionPrompt1.imageset,2,0
post-refactor-4d,geospoof-main,safari/Shared (App)/Assets.xcassets/PermissionPrompt2.imageset,2,0
post-refactor-4d,geospoof-main,safari/Shared (App)/Resources,6,1
post-refactor-4d,geospoof-main,safari/Shared (App)/Resources/Base.lproj,1,0
post-refactor-4d,geospoof-main,safari/Shared (Extension),1,0
post-refactor-4d,geospoof-main,safari/fastlane,3,0
post-refactor-4d,geospoof-main,safari/iOS (App),3,1
post-refactor-4d,geospoof-main,safari/iOS (App)/Base.lproj,2,0
post-refactor-4d,geospoof-main,safari/iOS (Extension),1,0
post-refactor-4d,geospoof-main,safari/macOS (App),2,1
post-refactor-4d,geospoof-main,safari/macOS (App)/Base.lproj,1,0
post-refactor-4d,geospoof-main,safari/macOS (Extension),1,0
post-refactor-4d,geospoof-main,safari/scripts,1,0
post-refactor-4d,geospoof-main,scripts,5,0
post-refactor-4d,geospoof-main,site,14,4
post-refactor-4d,geospoof-main,site/content,0,1
post-refactor-4d,geospoof-main,site/content/blog,5,0
post-refactor-4d,geospoof-main,site/public,8,5
post-refactor-4d,geospoof-main,site/public/images,1,4
post-refactor-4d,geospoof-main,site/public/images/blog,10,1
post-refactor-4d,geospoof-main,site/public/images/blog/geoceptor-vs-geospoof,30,0
post-refactor-4d,geospoof-main,site/public/images/help,1,0
post-refactor-4d,geospoof-main,site/public/images/hero,26,0
post-refactor-4d,geospoof-main,site/public/images/stores,7,0
post-refactor-4d,geospoof-main,site/public/proton,6,0
post-refactor-4d,geospoof-main,site/public/screenshots,36,0
post-refactor-4d,geospoof-main,site/public/video,1,0
post-refactor-4d,geospoof-main,site/public/workers,6,0
post-refactor-4d,geospoof-main,site/scripts,3,0
post-refactor-4d,geospoof-main,site/src,5,4
post-refactor-4d,geospoof-main,site/src/components,3,6
post-refactor-4d,geospoof-main,site/src/components/blog,1,0
post-refactor-4d,geospoof-main,site/src/components/landing,17,0
post-refactor-4d,geospoof-main,site/src/components/seo,1,0
post-refactor-4d,geospoof-main,site/src/components/test,3,0
post-refactor-4d,geospoof-main,site/src/components/ui,24,0
post-refactor-4d,geospoof-main,site/src/components/verification,17,0
post-refactor-4d,geospoof-main,site/src/hooks,3,0
post-refactor-4d,geospoof-main,site/src/lib,4,2
post-refactor-4d,geospoof-main,site/src/lib/test-suite,3,2
post-refactor-4d,geospoof-main,site/src/lib/test-suite/helpers,8,0
post-refactor-4d,geospoof-main,site/src/lib/test-suite/tests,18,0
post-refactor-4d,geospoof-main,site/src/lib/verification,11,0
post-refactor-4d,geospoof-main,site/src/routes,18,0
post-refactor-4d,geospoof-main,src,0,5
